SMILES,Rg
*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,21.963303224999983
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,20.509953133333315
*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,17.820722008333338
*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,18.210669891666655
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,18.23855519999999
*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,19.16801680833333
*c1cccc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)c1,21.701576574999983
*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,16.768477283333326
*c1cc(CCOC(=O)NCCCC)c(*)s1,17.61451402499998
*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,18.19981132500001
*c1ccc2c(c1)Sc1cc(-c3ccc(-c4ccc(*)s4)s3)ccc1N2CCCCCC,20.97752260833335
*CCCCCNC(=O)CCCCC(=O)N*,17.169818616666667
*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,21.178022383333342
*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,18.11303659166666
*c1ccc2c(c1)Sc1cc(-c3ccc(-c4ccc(*)s4)s3)ccc1N2CCCCCCCCCCCC,21.660403375
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,20.12249649999999
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,20.62985975833335
*CC(*)C(=O)OC(C)C,13.45804131666666
*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,16.70617665833333
*OC(=O)OCC(O)C(O)COC(=O)OC1COC2C(*)COC12,16.55487070000001
*CCCCCOCO*,20.287023608333342
*Oc1ccc(NC(=O)c2cc(NC(=O)CCCCCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc(*)cc3)c2)cc1,19.98613945000002
*c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C(F)(F)F)c1)C2=O,20.318871883333344
*CC(C)(C)C1C(=O)N(c2c(C)cccc2C)C(=O)C1*,11.90739464
*CC(O)COc1c(C)cc(S(=O)(=O)c2cc(C)c(O*)c(C)c2)cc1C,15.081846150000004
*c1ccc(Oc2ccc(-c3cnc4ccc(Oc5ccc6nc(*)cnc6c5)cc4n3)cc2)cc1,22.032987933333327
*CC(*)(C)C(=O)OCc1cc(Cl)ccc1Cl,13.064678108333323
*CC(*)OC(=O)c1cccc(Br)c1,14.354297691666655
*Nc1ccc2ccc3c(N*)c(-c4cccc(C)c4)cc4ccc1c2c43,19.924797891666653
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(=O)c5cccc(C(=O)c6ccc(*)cc6)c5)cc4)cc3)cc2)cc1,22.473215133333326
*Nc1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(-c4ccc(N*)cc4)ccc2-3)cc1,18.078017675000005
*Cc1cc(C)c(CNC(=O)c2ccc(C(=O)N*)cc2)cc1C,16.50780695833333
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,12.809610033333334
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.425010741666668
*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,23.13121157499999
*Nc1ccc(C2(c3ccc(N*)cc3)C=CCCC2)cc1,19.100914708333345
*CCCCCOC(=O)c1cccc(C(=O)O*)c1,20.73721750833334
*c1ccc(NC(=O)CN2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(CC(=O)Nc4ccc(-c6nnc(*)o6)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,19.75817584166668
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,21.66120264166668
